Date,Open,High,Low,Close,Volume,Symbol
2026-03-10,950.0,952.1500244140625,931.8499755859375,939.7999877929688,8474956,BAJFINANCE.NS
2026-03-11,932.2000122070312,941.25,890.0,893.6500244140625,11172537,BAJFINANCE.NS
2026-03-12,880.0999755859375,888.2000122070312,858.3499755859375,863.0999755859375,15508258,BAJFINANCE.NS
2026-03-13,861.0,868.3499755859375,848.7999877929688,855.0499877929688,6668639,BAJFINANCE.NS
2026-03-16,850.0999755859375,881.9000244140625,850.0999755859375,878.1500244140625,8982957,BAJFINANCE.NS
2026-03-17,878.1500244140625,881.0499877929688,859.5499877929688,868.5999755859375,7941385,BAJFINANCE.NS
2026-03-18,876.0999755859375,893.9500122070312,858.2000122070312,880.0999755859375,12375517,BAJFINANCE.NS
2026-03-19,868.2000122070312,869.9000244140625,826.7000122070312,832.2000122070312,11585591,BAJFINANCE.NS
2026-03-20,836.7000122070312,841.9500122070312,819.25,830.5499877929688,14881843,BAJFINANCE.NS
2026-03-23,818.0999755859375,818.7999877929688,787.9000244140625,812.5999755859375,15835828,BAJFINANCE.NS
2026-03-24,830.0,854.0,817.5999755859375,849.0,18828248,BAJFINANCE.NS
2026-03-25,862.0499877929688,888.7999877929688,853.2999877929688,882.75,15995501,BAJFINANCE.NS
2026-03-27,875.0,875.1500244140625,841.25,843.7999877929688,11282824,BAJFINANCE.NS
2026-03-30,831.0,834.9000244140625,799.0,801.5499877929688,20377282,BAJFINANCE.NS
2026-04-01,832.7999877929688,842.0499877929688,814.7999877929688,817.2999877929688,15094026,BAJFINANCE.NS
2026-04-02,809.0,830.0499877929688,792.4500122070312,826.8499755859375,9113618,BAJFINANCE.NS
2026-04-06,828.9000244140625,853.0,814.25,850.8499755859375,12504591,BAJFINANCE.NS
2026-04-07,848.0,862.7999877929688,844.4500122070312,855.0999755859375,11569047,BAJFINANCE.NS
2026-04-08,890.0,926.0,881.0,915.0499877929688,13826150,BAJFINANCE.NS
2026-04-09,902.0,913.4000244140625,891.4000244140625,903.25,9457820,BAJFINANCE.NS
2026-04-10,915.75,927.2999877929688,912.2999877929688,924.5499877929688,9491544,BAJFINANCE.NS
2026-04-13,896.1500244140625,905.9000244140625,881.0999755859375,898.9500122070312,10723313,BAJFINANCE.NS
2026-04-15,,,,,5973593,BAJFINANCE.NS
2025-04-16,2398.810708955805,2426.7968338936225,2381.719085046637,2414.403076171875,889949,ADANIENT.NS
2025-04-17,2416.801807413935,2447.3867417905553,2390.814691205183,2416.90185546875,1054797,ADANIENT.NS
2025-04-21,2424.897874285996,2463.6784522185894,2394.3129401230285,2441.489501953125,782559,ADANIENT.NS
2025-04-22,2457.6815931830174,2482.169454187685,2439.7905596895125,2444.288330078125,766567,ADANIENT.NS
2025-04-23,2458.7810083755676,2472.574218933799,2420.0001859436006,2452.38427734375,672262,ADANIENT.NS
2025-04-24,2448.786078836681,2460.180332779323,2423.898513847388,2441.289794921875,596626,ADANIENT.NS
2025-04-25,2448.886126932322,2458.2813718311522,2322.348756840692,2353.133544921875,1414809,ADANIENT.NS
2025-04-28,2344.8374773262303,2400.809727424384,2336.4417374193654,2368.625732421875,681421,ADANIENT.NS
2025-04-29,2390.8147919085186,2398.8108280018578,2324.447789941663,2329.4453125,670730,ADANIENT.NS
2025-04-30,2330.2446058731593,2338.8404418570726,2283.8676964288084,2300.15966796875,837464,ADANIENT.NS
2025-05-02,2348.7355718552017,2371.2244235352387,2288.8653487682104,2297.9609375,1695797,ADANIENT.NS
2025-05-05,2311.454113306035,2495.7626382419567,2296.661398484493,2454.283203125,4227194,ADANIENT.NS
2025-05-06,2452.7839419770867,2461.979334194425,2342.3386992759997,2352.83349609375,1524692,ADANIENT.NS
2025-05-07,2313.8528638562534,2378.3209026116438,2313.8528638562534,2351.93408203125,1012640,ADANIENT.NS
2025-05-08,2360.829672363566,2366.6268473739788,2258.880211490965,2284.167724609375,1380069,ADANIENT.NS
